Platypedia,Cicadidae,Hemiptera
Platypeza,Platypezidae,Diptera
Platypolia,Noctuidae,Lepidoptera
Platyprepia,Erebidae,Lepidoptera
Platyptilia,Pterophoridae,Lepidoptera
Platysoma,Histeridae,Coleoptera
Platystethus,Staphylinidae,Coleoptera
Platystoma,Platystomatidae,Diptera
Platytes,Crambidae,Lepidoptera
Platythyrea,Formicidae,Hymenoptera
Platytomus,Scarabaeidae,Coleoptera
Plaumannimyia,Tephritidae,Diptera
Plebejus,Lycaenidae,Lepidoptera
Plecia,Bibionidae,Diptera
Plectrodera,Cerambycidae,Coleoptera
Plectrura,Cerambycidae,Coleoptera
Plega,Mantispidae,Neuroptera
Pleistodontes,Agaonidae,Hymenoptera
Plemyria,Geometridae,Lepidoptera
Pleocoma,Pleocomidae,Coleoptera
Pleotrichophorus,Aphididae,Hemiptera
Pleromelloida,Noctuidae,Lepidoptera
Pleroneura,Xyelidae,Hymenoptera
Pleuropasta,Meloidae,Coleoptera
Pleuroprucha,Geometridae,Lepidoptera
Pleurota,Oecophoridae,Lepidoptera
Plinthisus,Rhyparochromidae,Hemiptera
Plinthocoelium,Cerambycidae,Coleoptera
Plionoma,Cerambycidae,Coleoptera
Plocamaphis,Aphididae,Hemiptera
Plochionus,Carabidae,Coleoptera
Plodia,Pyralidae,Lepidoptera
Ploiaria,Reduviidae,Hemiptera
Plusia,Noctuidae,Lepidoptera
Plusiodonta,Erebidae,Lepidoptera
Plutella,Plutellidae,Lepidoptera
Pnirontis,Reduviidae,Hemiptera
Poanes,Hesperiidae,Lepidoptera
Poblicia,Fulgoridae,Hemiptera
Pococera,Pyralidae,Lepidoptera
Podabrus,Cantharidae,Coleoptera
Podagrion,Torymidae,Hymenoptera
Podalonia,Sphecidae,Hymenoptera
Podisus,Pentatomidae,Hemiptera
Podium,Sphecidae,Hymenoptera
Podoschistus,Ichneumonidae,Hymenoptera
Podosesia,Sesiidae,Lepidoptera
Poecilanthrax,Bombyliidae,Diptera
Poecilocapsus,Miridae,Hemiptera
Poecilocrypticus,Tenebrionidae,Coleoptera
Poeciloderas,Tabanidae,Diptera
Poecilognathus,Bombyliidae,Diptera
Poecilonota,Buprestidae,Coleoptera
Poecilopompilus,Pompilidae,Hymenoptera
Poecilotettix,Acrididae,Orthoptera
Poecilus,Carabidae,Coleoptera
Pogonocherus,Cerambycidae,Coleoptera
Pogonomyrmex,Formicidae,Hymenoptera
Pogonortalis,Platystomatidae,Diptera
Pogonosoma,Asilidae,Diptera
Polacantha,Asilidae,Diptera
Poladryas,Nymphalidae,Lepidoptera
Polana,Cicadellidae,Hemiptera
Polemiotus,Tenebrionidae,Coleoptera
Polemius,Cantharidae,Coleoptera
Polia,Noctuidae,Lepidoptera
Policocnemis,Noctuidae,Lepidoptera
Polistes,Vespidae,Hymenoptera
Polites,Hesperiidae,Lepidoptera
Polix,Oecophoridae,Lepidoptera
Pollaclasis,Lampyridae,Coleoptera
Pollenia,Calliphoridae,Diptera
Polybiomyia,Syrphidae,Diptera
Polycaon,Bostrichidae,Coleoptera
Polycentropus,Polycentropodidae,Trichoptera
Polycesta,Buprestidae,Coleoptera
Polychrysia,Noctuidae,Lepidoptera
Polycyrtus,Ichneumonidae,Hymenoptera
Polydrusus,Curculionidae,Coleoptera
Polyergus,Formicidae,Hymenoptera
Polygonia,Nymphalidae,Lepidoptera
Polygonus,Hesperiidae,Lepidoptera
Polygrammate,Noctuidae,Lepidoptera
Polygrammodes,Crambidae,Lepidoptera
Polyhymno,Gelechiidae,Lepidoptera
Polymerus,Miridae,Hemiptera
Polyommatus,Lycaenidae,Lepidoptera
Polypedilum,Chironomidae,Diptera
Polyphylla,Scarabaeidae,Coleoptera
Polypleurus,Tenebrionidae,Coleoptera
Polyporivora,Platypezidae,Diptera
Polypsocus,Amphipsocidae,Psocodea
Polystepha,Cecidomyiidae,Diptera
Polystoechotes,Polystoechotidae,Neuroptera
Polythrix,Hesperiidae,Lepidoptera
Pompeius,Hesperiidae,Lepidoptera
Ponana,Cicadellidae,Hemiptera
Ponera,Formicidae,Hymenoptera
Ponometia,Noctuidae,Lepidoptera
Pontania,Tenthredinidae,Hymenoptera
Pontia,Pieridae,Lepidoptera
Pontomalota,Staphylinidae,Coleoptera
Popillia,Scarabaeidae,Coleoptera
Portentomorpha,Crambidae,Lepidoptera
Povolnya,Gracillariidae,Lepidoptera
Prairiana,Cicadellidae,Hemiptera
Prasocuris,Chrysomelidae,Coleoptera
Prays,Praydidae,Lepidoptera
Prenolepis,Formicidae,Hymenoptera
Prepops,Miridae,Hemiptera
Prescottia,Cicadellidae,Hemiptera
Priacma,Cupedidae,Coleoptera
Priobium,Ptinidae,Coleoptera
Priocera,Cleridae,Coleoptera
Priocnemis,Pompilidae,Hymenoptera
Priognathus,Pythidae,Coleoptera
Prionapteryx,Crambidae,Lepidoptera
Prionocera,Tipulidae,Diptera
Prionocyphon,Scirtidae,Coleoptera
Prionomelia,Geometridae,Lepidoptera
Prionosoma,Pentatomidae,Hemiptera
Prionoxystus,Cossidae,Lepidoptera
Prionus,Cerambycidae,Coleoptera
Prionyx,Sphecidae,Hymenoptera
Priophorus,Tenthredinidae,Hymenoptera
Pristaulacus,Aulacidae,Hymenoptera
Pristerognatha,Tortricidae,Lepidoptera
Pristiphora,Tenthredinidae,Hymenoptera
Pristoceuthophilus,Rhaphidophoridae,Orthoptera
Pritchardomyia,Asilidae,Diptera
Proba,Miridae,Hemiptera
Problema,Hesperiidae,Lepidoptera
Probole,Geometridae,Lepidoptera
Procecidochares,Tephritidae,Diptera
Procecidocharoides,Tephritidae,Diptera
Proceratium,Formicidae,Hymenoptera
Prochoerodes,Geometridae,Lepidoptera
Prochoreutis,Choreutidae,Lepidoptera
Prochyliza,Piophilidae,Diptera
Prociphilus,Aphididae,Hemiptera
Procladius,Chironomidae,Diptera
Procloeon,Baetidae,Ephemeroptera
Proctacanthella,Asilidae,Diptera
Proctacanthus,Asilidae,Diptera
Prodiplosis,Cecidomyiidae,Diptera
Prodoxus,Prodoxidae,Lepidoptera
Profenusa,Tenthredinidae,Hymenoptera
Progomphus,Gomphidae,Odonata
Prokelisia,Delphacidae,Hemiptera
Prolepsis,Asilidae,Diptera
Prolimacodes,Limacodidae,Lepidoptera
Prolita,Gelechiidae,Lepidoptera
Prolixocupes,Cupedidae,Coleoptera
Promachus,Asilidae,Diptera
Promalactis,Oecophoridae,Lepidoptera
Promecognathus,Carabidae,Coleoptera
Prometopia,Nitidulidae,Coleoptera
Pronocera,Cerambycidae,Coleoptera
Pronotacantha,Berytidae,Hemiptera
Properigea,Noctuidae,Lepidoptera
Propsocus,Elipsocidae,Psocodea
Propylea,Coccinellidae,Coleoptera
Prorella,Geometridae,Lepidoptera
Proroblemma,Erebidae,Lepidoptera
Prorocorypha,Acrididae,Orthoptera
Prosapia,Cercopidae,Hemiptera
Prosena,Tachinidae,Diptera
Proserpinus,Sphingidae,Lepidoptera
Prosimulium,Simuliidae,Diptera
Prostephanus,Bostrichidae,Coleoptera
Prosternon,Elateridae,Coleoptera
Protaetia,Scarabaeidae,Coleoptera
Protalebrella,Cicadellidae,Hemiptera
Protambulyx,Sphingidae,Lepidoptera
Protandrena,Andrenidae,Hymenoptera
Protaphis,Aphididae,Hemiptera
Proteides,Hesperiidae,Lepidoptera
Proteinus,Staphylinidae,Coleoptera
Protenor,Alydidae,Hemiptera
Proteoteras,Tortricidae,Lepidoptera
Prothalpia,Melandryidae,Coleoptera
Prothrinax,Noctuidae,Lepidoptera
Protichneumon,Ichneumonidae,Hymenoptera
Protitame,Geometridae,Lepidoptera
Protoboarmia,Geometridae,Lepidoptera
Protodejeania,Tachinidae,Diptera
Protodeltote,Noctuidae,Lepidoptera
Protogygia,Noctuidae,Lepidoptera
Protolampra,Noctuidae,Lepidoptera
Protoneura,Protoneuridae,Odonata
Protoperigea,Noctuidae,Lepidoptera
Protopulvinaria,Coccidae,Hemiptera
Protorthodes,Noctuidae,Lepidoptera
Protoschinia,Noctuidae,Lepidoptera
Protoxaea,Andrenidae,Hymenoptera
Proxenus,Noctuidae,Lepidoptera
Proxys,Pentatomidae,Hemiptera
Prumnacris,Acrididae,Orthoptera
Pryeria,Zygaenidae,Lepidoptera
Psaliodes,Geometridae,Lepidoptera
Psallus,Miridae,Hemiptera
Psamathia,Uraniidae,Lepidoptera
Psamatodes,Geometridae,Lepidoptera
Psammobotys,Crambidae,Lepidoptera
Psammodius,Scarabaeidae,Coleoptera
Psammoecus,Silvanidae,Coleoptera
Psammopolia,Noctuidae,Lepidoptera
Psammotettix,Cicadellidae,Hemiptera
Psaphida,Noctuidae,Lepidoptera
Psara,Crambidae,Lepidoptera
Psectra,Hemerobiidae,Neuroptera
Psectraglaea,Noctuidae,Lepidoptera
Psectrotanypus,Chironomidae,Diptera
Psectrotarsia,Noctuidae,Lepidoptera
Pselactus,Curculionidae,Coleoptera
Pselliopus,Reduviidae,Hemiptera
Pselnophorus,Pterophoridae,Lepidoptera
Psen,Crabronidae,Hymenoptera
Psenocerus,Cerambycidae,Coleoptera
Psephenus,Psephenidae,Coleoptera
Pseudacteon,Phoridae,Diptera
Pseudanarta,Noctuidae,Lepidoptera
Pseudanostirus,Elateridae,Coleoptera
Pseudanthracia,Erebidae,Lepidoptera
Pseudatomoscelis,Miridae,Hemiptera
Pseudaulacaspis,Diaspididae,Hemiptera
Pseudeustrotia,Noctuidae,Lepidoptera
Pseudeva,Noctuidae,Lepidoptera
Pseudexentera,Tortricidae,Lepidoptera
Pseudhapigia,Notodontidae,Lepidoptera
Pseudobryomima,Noctuidae,Lepidoptera
Pseudocaecilius,Pseudocaeciliidae,Psocodea
Pseudocanthon,Scarabaeidae,Coleoptera
Pseudochelaria,Gelechiidae,Lepidoptera
Pseudocistela,Tenebrionidae,Coleoptera
Pseudocneorhinus,Curculionidae,Coleoptera
Pseudococcus,Pseudococcidae,Hemiptera
Pseudocotalpa,Scarabaeidae,Coleoptera
Pseudodynerus,Vespidae,Hymenoptera
Pseudoedophrys,Curculionidae,Coleoptera
Pseudogalleria,Tortricidae,Lepidoptera
Pseudogaurotina,Cerambycidae,Coleoptera
Pseudohemihyalea,Erebidae,Lepidoptera
Pseudohermonassa,Noctuidae,Lepidoptera
Pseudoleon,Libellulidae,Odonata
Pseudoluperus,Chrysomelidae,Coleoptera
Pseudolynchia,Hippoboscidae,Diptera
Pseudomalus,Chrysididae,Hymenoptera
Pseudomasaris,Vespidae,Hymenoptera
Pseudomethoca,Mutillidae,Hymenoptera
Pseudomops,Ectobiidae,Blattodea
Pseudomyrmex,Formicidae,Hymenoptera
Pseudonomoneura,Mydidae,Diptera
Pseudopachybrachius,Rhyparochromidae,Hemiptera
Pseudopamera,Rhyparochromidae,Hemiptera
Pseudopanthea,Noctuidae,Lepidoptera
Pseudopanurgus,Andrenidae,Hymenoptera
Pseudopityophthorus,Curculionidae,Coleoptera
Pseudopomala,Acrididae,Orthoptera
Pseudopostega,Opostegidae,Lepidoptera
Pseudopsallus,Miridae,Hemiptera
Pseudopyrausta,Crambidae,Lepidoptera
Pseudorgyia,Erebidae,Lepidoptera
Pseudorthodes,Noctuidae,Lepidoptera
Pseudoscaeva,Syrphidae,Diptera
Pseudoschinia,Crambidae,Lepidoptera
Pseudosciaphila,Tortricidae,Lepidoptera
Pseudosermyle,Diapheromeridae,Phasmida
Pseudosiobla,Tenthredinidae,Hymenoptera
Pseudosphex,Erebidae,Lepidoptera
Pseudosphinx,Sphingidae,Lepidoptera
Pseudostrangalia,Cerambycidae,Coleoptera
Pseudotelphusa,Gelechiidae,Lepidoptera
Pseudotephritina,Ulidiidae,Diptera
Pseudotephritis,Ulidiidae,Diptera
Pseudothyatira,Drepanidae,Lepidoptera
Pseudovates,Mantidae,Mantodea
Pseudoxenetus,Miridae,Hemiptera
Psilocorsis,Depressariidae,Lepidoptera
Psilocurus,Asilidae,Diptera
Psilonyx,Asilidae,Diptera
Psilopa,Ephydridae,Diptera
Psilopleura,Erebidae,Lepidoptera
Psilota,Syrphidae,Diptera
Psilotreta,Odontoceridae,Trichoptera
Psinidia,Acrididae,Orthoptera
Psoa,Bostrichidae,Coleoptera
Psocus,Psocidae,Psocodea
Psoloessa,Acrididae,Orthoptera
Psorophora,Culicidae,Diptera
Psorthaspis,Pompilidae,Hymenoptera
Psyche,Psychidae,Lepidoptera
Psychoda,Psychodidae,Diptera
Psychoglypha,Limnephilidae,Trichoptera
Psychomorpha,Noctuidae,Lepidoptera
Psychonoctua,Cossidae,Lepidoptera
Psylla,Psyllidae,Hemiptera
Psyllaephagus,Encyrtidae,Hymenoptera
Psylliodes,Chrysomelidae,Coleoptera
Psyllobora,Coccinellidae,Coleoptera
Psyrassa,Cerambycidae,Coleoptera
Ptecticus,Stratiomyidae,Diptera
Pteleon,Chrysomelidae,Coleoptera
Ptenidium,Ptiliidae,Coleoptera
Pterallastes,Syrphidae,Diptera
Pterocheilus,Vespidae,Hymenoptera
Pterocolus,Attelabidae,Coleoptera
Pterocomma,Aphididae,Hemiptera
Pterodontia,Acroceridae,Diptera
Pteromalus,Pteromalidae,Hymenoptera
Pteronarcys,Pteronarcyidae,Plecoptera
Pteronymia,Nymphalidae,Lepidoptera
Pterophylla,Tettigoniidae,Orthoptera
Pterospoda,Geometridae,Lepidoptera
Pterostichus,Carabidae,Coleoptera
Pterotaea,Geometridae,Lepidoptera
Pterotus,Lampyridae,Coleoptera
Pteroxanium,Lepidopsocidae,Psocodea
Pthirus,Pthiridae,Psocodea
Ptichodis,Erebidae,Lepidoptera
Ptilinus,Ptinidae,Coleoptera
Ptilodactyla,Ptilodactylidae,Coleoptera
Ptiloglossa,Colletidae,Hymenoptera
Ptilostomis,Phryganeidae,Trichoptera
Ptilothrix,Apidae,Hymenoptera
Ptinella,Ptiliidae,Coleoptera
Ptinomorphus,Ptinidae,Coleoptera
Ptinus,Ptinidae,Coleoptera
Ptochiomera,Rhyparochromidae,Hemiptera
Ptomaphagus,Leiodidae,Coleoptera
Ptosima,Buprestidae,Coleoptera
Ptychamalia,Geometridae,Lepidoptera
Ptychoglene,Erebidae,Lepidoptera
Ptychoptera,Ptychopteridae,Diptera
Ptycta,Psocidae,Psocodea
Pubitelphusa,Gelechiidae,Lepidoptera
Publilia,Membracidae,Hemiptera
Pulex,Pulicidae,Siphonaptera
Pullimosina,Sphaeroceridae,Diptera
Pulvinaria,Coccidae,Hemiptera
Pulvinariella,Coccidae,Hemiptera
Punicealis,Lycidae,Coleoptera
Purpuricenus,Cerambycidae,Coleoptera
Purshivora,Psyllidae,Hemiptera
Pycnocoris,Miridae,Hemiptera
Pycnomerus,Zopheridae,Coleoptera
Pycnopsyche,Limnephilidae,Trichoptera
Pycnoscelus,Blaberidae,Blattodea
Pygarctia,Erebidae,Lepidoptera
Pygoctenucha,Erebidae,Lepidoptera
Pygolampis,Reduviidae,Hemiptera
Pyla,Pyralidae,Lepidoptera
Pyractomena,Lampyridae,Coleoptera
Pyralis,Pyralidae,Lepidoptera
Pyramidobela,Depressariidae,Lepidoptera
Pyrausta,Crambidae,Lepidoptera
Pyreferra,Noctuidae,Lepidoptera
Pyrgocorypha,Tettigoniidae,Orthoptera
Pyrgota,Pyrgotidae,Diptera
Pyrgotella,Pyrgotidae,Diptera
Pyrgus,Hesperiidae,Lepidoptera
Pyrisitia,Pieridae,Lepidoptera
Pyroderces,Cosmopterigidae,Lepidoptera
Pyromorpha,Zygaenidae,Lepidoptera
Pyropyga,Lampyridae,Coleoptera
Pyrota,Meloidae,Coleoptera
Pyrrhalta,Chrysomelidae,Coleoptera
Pyrrharctia,Erebidae,Lepidoptera
Pyrrhia,Noctuidae,Lepidoptera
Pyrrhocoris,Pyrrhocoridae,Hemiptera
Pytho,Pythidae,Coleoptera
Pyticeroides,Cleridae,Coleoptera
Quadrastichus,Eulophidae,Hymenoptera
Quadrina,Lasiocampidae,Lepidoptera
Quasimellana,Hesperiidae,Lepidoptera
Quasisalebria,Pyralidae,Lepidoptera
Quedius,Staphylinidae,Coleoptera
Quernaspis,Diaspididae,Hemiptera
Quesada,Cicadidae,Hemiptera
Rabdophaga,Cecidomyiidae,Diptera
Rachicerus,Xylophagidae,Diptera
Rachiplusia,Noctuidae,Lepidoptera
Rafaelia,Sarcophagidae,Diptera
Raglius,Rhyparochromidae,Hemiptera
Rainieria,Micropezidae,Diptera
Ramosiana,Pentatomidae,Hemiptera
Ranatra,Nepidae,Hemiptera
Ranzovius,Miridae,Hemiptera
Raphia,Noctuidae,Lepidoptera
Raphiptera,Crambidae,Lepidoptera
Rasahus,Reduviidae,Hemiptera
Rectiostoma,Depressariidae,Lepidoptera
Recurvaria,Gelechiidae,Lepidoptera
Redectis,Erebidae,Lepidoptera
Reduvius,Reduviidae,Hemiptera
Reesa,Dermestidae,Coleoptera
Rekoa,Lycaenidae,Lepidoptera
Remartinia,Aeshnidae,Odonata
Renia,Erebidae,Lepidoptera
Repipta,Reduviidae,Hemiptera
Resapamea,Noctuidae,Lepidoptera
Resseliella,Cecidomyiidae,Diptera
Reticulitermes,Rhinotermitidae,Blattodea
Retinia,Tortricidae,Lepidoptera
Reuteroscopus,Miridae,Hemiptera
Reynosa,Pyralidae,Lepidoptera
Rhabdopterus,Chrysomelidae,Coleoptera
Rhachocnemis,Rhaphidophoridae,Orthoptera
Rhacognathus,Pentatomidae,Hemiptera
Rhadine,Carabidae,Coleoptera
Rhadinoceraea,Tenthredinidae,Hymenoptera
Rhagio,Rhagionidae,Diptera
Rhagium,Cerambycidae,Coleoptera
Rhagoletis,Tephritidae,Diptera
Rhagonycha,Cantharidae,Coleoptera
Rhagovelia,Veliidae,Hemiptera
Rhammatocerus,Acrididae,Orthoptera
Rhamphomyia,Empididae,Diptera
Rhamphura,Scythrididae,Lepidoptera
Rhanidea,Endomychidae,Coleoptera
Rhantus,Dytiscidae,Coleoptera
Rhaphiomidas,Mydidae,Diptera
Rhaphium,Dolichopodidae,Diptera
Rhaxonycha,Cantharidae,Coleoptera
Rhectocraspeda,Crambidae,Lepidoptera
Rheumaptera,Geometridae,Lepidoptera
Rheumatobates,Gerridae,Hemiptera
Rhiginia,Reduviidae,Hemiptera
Rhigognostis,Plutellidae,Lepidoptera
Rhigopsis,Curculionidae,Coleoptera
Rhinacloa,Miridae,Hemiptera
Rhingia,Syrphidae,Diptera
Rhinocyllus,Curculionidae,Coleoptera
Rhinoncomimus,Curculionidae,Coleoptera
Rhinoncus,Curculionidae,Coleoptera
Rhinoplatia,Oedemeridae,Coleoptera
Rhinusa,Curculionidae,Coleoptera
Rhionaeschna,Aeshnidae,Odonata
Rhipidandrus,Tenebrionidae,Coleoptera
Rhithrogena,Heptageniidae,Ephemeroptera
Rhizedra,Noctuidae,Lepidoptera
Rhizophagus,Monotomidae,Coleoptera
Rhodobaenus,Curculionidae,Coleoptera
Rhodocantha,Crambidae,Lepidoptera
Rhogogaster,Tenthredinidae,Hymenoptera
Rhopalapion,Brentidae,Coleoptera
Rhopalomyia,Cecidomyiidae,Diptera
Rhopalophora,Cerambycidae,Coleoptera
Rhopalosiphum,Aphididae,Hemiptera
Rhopalosoma,Rhopalosomatidae,Hymenoptera
Rhopalum,Crabronidae,Hymenoptera
Rhopobota,Tortricidae,Lepidoptera
Rhyacia,Noctuidae,Lepidoptera
Rhyacionia,Tortricidae,Lepidoptera
Rhyacophila,Rhyacophilidae,Trichoptera
Rhynchanthrax,Bombyliidae,Diptera
Rhynchites,Attelabidae,Coleoptera
Rhynchomitra,Dictyopharidae,Hemiptera
Rhynchophorus,Curculionidae,Coleoptera
Rhynocoris,Reduviidae,Hemiptera
Rhyparochromus,Rhyparochromidae,Hemiptera
Rhyssa,Ichneumonidae,Hymenoptera
Rhyssella,Ichneumonidae,Hymenoptera
Rhyssomatus,Curculionidae,Coleoptera
Rhytidodus,Cicadellidae,Hemiptera
Rhyzobius,Coccinellidae,Coleoptera
Rhyzopertha,Bostrichidae,Coleoptera
Ribautiana,Cicadellidae,Hemiptera
Rifargia,Notodontidae,Lepidoptera
Rifseria,Gelechiidae,Lepidoptera
Rindgea,Geometridae,Lepidoptera
Ripiphorus,Ripiphoridae,Coleoptera
Rivellia,Platystomatidae,Diptera
Rivula,Erebidae,Lepidoptera
Rocconota,Reduviidae,Hemiptera
Rodolia,Coccinellidae,Coleoptera
Rolandylis,Tortricidae,Lepidoptera
Romalea,Acrididae,Orthoptera
Ropalopus,Cerambycidae,Coleoptera
Rosalia,Cerambycidae,Coleoptera
Rostrolaetilia,Pyralidae,Lepidoptera
Rothschildia,Saturniidae,Lepidoptera
Ruacodes,Noctuidae,Lepidoptera
Rudenia,Tortricidae,Lepidoptera
Rugilus,Staphylinidae,Coleoptera
Rugosana,Cicadellidae,Hemiptera
Rumatha,Pyralidae,Lepidoptera
Rupela,Crambidae,Lepidoptera
Rusicada,Erebidae,Lepidoptera
Rusticoclytus,Cerambycidae,Coleoptera
Rutela,Scarabaeidae,Coleoptera
Rybaxis,Staphylinidae,Coleoptera
Sabulodes,Geometridae,Lepidoptera
Saccharosydne,Delphacidae,Hemiptera
Sacodes,Scirtidae,Coleoptera
Sagenosoma,Sphingidae,Lepidoptera
Sagotylus,Coreidae,Hemiptera
Saissetia,Coccidae,Hemiptera
Salbia,Crambidae,Lepidoptera
Saldula,Saldidae,Hemiptera
Salebriaria,Pyralidae,Lepidoptera
Salobrena,Pyralidae,Lepidoptera
Saltella,Sepsidae,Diptera
Samea,Crambidae,Lepidoptera
Samia,Saturniidae,Lepidoptera
Sanctanus,Cicadellidae,Hemiptera
Sandalus,Rhipiceridae,Coleoptera
Sanfilippodytes,Dytiscidae,Coleoptera
Saperda,Cerambycidae,Coleoptera
Sapintus,Anthicidae,Coleoptera
Saprinus,Histeridae,Coleoptera
Sapromyza,Lauxaniidae,Diptera
Sapyga,Sapygidae,Hymenoptera
Sarcophaga,Sarcophagidae,Diptera
Sargus,Stratiomyidae,Diptera
Saropogon,Asilidae,Diptera
Sarosesthes,Cerambycidae,Coleoptera
Sarpedon,Eucnemidae,Coleoptera
Sarucallis,Aphididae,Hemiptera
Satole,Pyralidae,Lepidoptera
Satronia,Tortricidae,Lepidoptera
Saturnia,Saturniidae,Lepidoptera
Satyrium,Lycaenidae,Lepidoptera
Saucrobotys,Crambidae,Lepidoptera
Savius,Coreidae,Hemiptera
Saxinis,Chrysomelidae,Coleoptera
Scaeva,Syrphidae,Diptera
Scambus,Ichneumonidae,Hymenoptera
Scantius,Pyrrhocoridae,Hemiptera
Scaphidema,Tenebrionidae,Coleoptera
Scaphidium,Staphylinidae,Coleoptera
Scaphinotus,Carabidae,Coleoptera
Scaphisoma,Staphylinidae,Coleoptera
Scaphoideus,Cicadellidae,Hemiptera
Scaphomorphus,Curculionidae,Coleoptera
Scaphytopius,Cicadellidae,Hemiptera
Scaptodrosophila,Drosophilidae,Diptera
Scaptolenus,Elateridae,Coleoptera
Scaptomyza,Drosophilidae,Diptera
Scardia,Tineidae,Lepidoptera
Scardiella,Tineidae,Lepidoptera
Scarites,Carabidae,Coleoptera
Scatella,Ephydridae,Diptera
Scathophaga,Scathophagidae,Diptera
Sceliphron,Sphecidae,Hymenoptera
Scelopristis,Melyridae,Coleoptera
Schinia,Noctuidae,Lepidoptera
Schistocerca,Acrididae,Orthoptera
Schizocerella,Argidae,Hymenoptera
Schizogenius,Carabidae,Coleoptera
Schizomyia,Cecidomyiidae,Diptera
Schizophilus,Eucnemidae,Coleoptera
Schizotus,Pyrochroidae,Coleoptera
Schizura,Notodontidae,Lepidoptera
Schrankia,Erebidae,Lepidoptera
Schreckensteinia,Schreckensteiniidae,Lepidoptera
Sciaphilus,Curculionidae,Coleoptera
Sciapus,Dolichopodidae,Diptera
Sciara,Sciaridae,Diptera
Sciocoris,Pentatomidae,Hemiptera
Sciodrepoides,Leiodidae,Coleoptera
Sciopithes,Curculionidae,Coleoptera
Sciota,Pyralidae,Lepidoptera
Scirtes,Scirtidae,Coleoptera
Sclerocona,Crambidae,Lepidoptera
Sclerodermus,Bethylidae,Hymenoptera
Scleropogon,Asilidae,Diptera
Scobicia,Bostrichidae,Coleoptera
Scolecocampa,Erebidae,Lepidoptera
Scolia,Scoliidae,Hymenoptera
Scolioneura,Tenthredinidae,Hymenoptera
Scoliopteryx,Erebidae,Lepidoptera
Scolopocerus,Coreidae,Hemiptera
Scolopostethus,Rhyparochromidae,Hemiptera
Scolops,Dictyopharidae,Hemiptera
Scolopsella,Fulgoridae,Hemiptera
Scolytus,Curculionidae,Coleoptera
Scoparia,Crambidae,Lepidoptera
Scopula,Geometridae,Lepidoptera
Scotogramma,Noctuidae,Lepidoptera
Scotoleon,Myrmeleontidae,Neuroptera
Scrobipalpa,Gelechiidae,Lepidoptera
Scudderia,Tettigoniidae,Orthoptera
Sculptotheca,Ptinidae,Coleoptera
Scybalistodes,Crambidae,Lepidoptera
Scymnus,Coccinellidae,Coleoptera
Scyphophorus,Curculionidae,Coleoptera
Scythris,Scythrididae,Lepidoptera
Sehirus,Cydnidae,Hemiptera
Seirarctia,Erebidae,Lepidoptera
Selatosomus,Elateridae,Coleoptera
Selenia,Geometridae,Lepidoptera
Selenisa,Erebidae,Lepidoptera
Selenophorus,Carabidae,Coleoptera
Semaeopus,Geometridae,Lepidoptera
Semanotus,Cerambycidae,Coleoptera
Semioscopis,Depressariidae,Lepidoptera
Semiothisa,Geometridae,Lepidoptera
Semium,Miridae,Hemiptera
Senopterina,Platystomatidae,Diptera
Sepedomerus,Sciomyzidae,Diptera
Sepedon,Sciomyzidae,Diptera
Sepedophilus,Staphylinidae,Coleoptera
Sephina,Coreidae,Hemiptera
Sepsis,Sepsidae,Diptera
Sepsisoma,Richardiidae,Diptera
Sereda,Tortricidae,Lepidoptera
Serica,Scarabaeidae,Coleoptera
Sericaglaea,Noctuidae,Lepidoptera
Sericoderus,Corylophidae,Coleoptera
Sericomyia,Syrphidae,Diptera
Sericophanes,Miridae,Hemiptera
Sericoplaga,Crambidae,Lepidoptera
Sericopompilus,Pompilidae,Hymenoptera
Sericoptera,Geometridae,Lepidoptera
Sericosema,Geometridae,Lepidoptera
Sericus,Elateridae,Coleoptera
Sermyle,Diapheromeridae,Phasmida
Serratella,Ephemerellidae,Ephemeroptera
Serropalpus,Melandryidae,Coleoptera
Sesaspis,Zopheridae,Coleoptera
Sesia,Sesiidae,Lepidoptera
Setagrotis,Noctuidae,Lepidoptera
Sethenira,Coreidae,Hemiptera
Setodes,Leptoceridae,Trichoptera
Shelfordella,Blattidae,Blattodea
Shellenius,Derbidae,Hemiptera
Shivaphis,Aphididae,Hemiptera
Sialis,Sialidae,Megaloptera
Sibinia,Curculionidae,Coleoptera
Sibovia,Cicadellidae,Hemiptera
Sicya,Geometridae,Lepidoptera
Sideridis,Noctuidae,Lepidoptera
Siederia,Psychidae,Lepidoptera
Sigara,Corixidae,Hemiptera
Sigela,Erebidae,Lepidoptera
Signiphora,Signiphoridae,Hymenoptera
Silis,Cantharidae,Coleoptera
Silpha,Silphidae,Coleoptera
Silvanoprus,Silvanidae,Coleoptera
Silvanus,Silvanidae,Coleoptera
Silvius,Tabanidae,Diptera
Simplicia,Erebidae,Lepidoptera
Simplocaria,Byrrhidae,Coleoptera
Simulium,Simuliidae,Diptera
Sinea,Reduviidae,Hemiptera
Singhiella,Aleyrodidae,Hemiptera
Sinodendron,Lucanidae,Coleoptera
Sinoe,Gelechiidae,Lepidoptera
Sinoxylon,Bostrichidae,Coleoptera
Sipha,Aphididae,Hemiptera
Siphanta,Flatidae,Hemiptera
Siphlonurus,Siphlonuridae,Ephemeroptera
Siphloplecton,Metretopodidae,Ephemeroptera
Siphona,Tachinidae,Diptera
Siphoninus,Aleyrodidae,Hemiptera
